|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|
|FSR 1076         |07 13 26|+03 08.9|0.175|        |             |55|1031|8.96|             |
|FSR 1031         |06 30 18|+03 23.4|0.16|        |             |149|1791|8.635|        0.056|
|ASCC 21          |05 29 02|+03 33.6|0.85|   19.94|         1.14|232|379|7.11|             |
|FSR 1051         |06 52 08|+03 39.3|0.165|        |             |131|1180|8.79|             |
|Platais 6        |06 15 04|+03 51.0|1.3|   25.50|         7.52|847|347|7.96|        0.006|
|Collinder 107    |06 38 30|+04 38.1|0.18|   21.55|         5.77|104|1447|7.165|        0.016|
|NGC 6756         |19 08 45|+04 43.0|0.11|        |             |131|1951|8.4|             |
|NGC 2180         |06 09 45|+04 48.3|0.11|        |             |52|1882|9.355|             |
|FSR 1000         |06 12 16|+05 11.1|0.16|        |             |127|1917|8.79|        0.057|
|NGC 2252         |06 34 30|+05 22.2|0.22|    9.00|         7.40|251|900|8.86|        0.020|
|NGC 2186         |06 12 09|+05 27.8|0.13|   20.15|         0.19|92|1445|8.2|             |
|NGC 2143         |06 03 12|+05 44.7|0.195|        |             |141|1490|9.09|        0.028|
|Collinder 97     |06 31 41|+05 58.5|0.155|   17.88|         3.91|136|1259|8.4|             |
|NGC 2202         |06 16 52|+06 01.6|0.13|        |             |62|1940|9.2|             |
|Collinder 111    |06 38 50|+06 54.9|0.115|   32.00|             |86|1191|7.7|             |
|Czernik 25       |06 13 42|+06 57.2|0.205|        |             |258|1861|8.52|        0.044|
|ASCC 26          |06 50 26|+07 15.0|0.16|    8.00|         7.40|54|981|8.15|             |
|MWSC 5751        |20 35 46|+07 59.1|0.14|        |             |57|1532|9.25|             |
|Basel 8          |06 34 12|+08 00.6|0.17|   11.00|         7.40|175|1432|7.925|        0.099|
|Basel 7          |06 36 18|+08 19.8|0.095|        |             |59|1560|8.105|             |
|NGC 2251         |06 34 37|+08 22.2|0.18|  -16.00|         7.40|229|1329|8.455|        0.074|
|B 35             |05 43 41|+09 05.7|0.55|   14.20|             |265|612|8.92|             |
|Collinder 69     |05 35 20|+09 49.8|0.535|   31.38|         1.42|192|411|6.76|             |
|NGC 2264         |06 40 59|+09 52.8|0.39|   20.69|         1.53|185|650|6.75|             |
|MWSC 4602        |21 02 46|+10 45.9|0.23|        |             |81|1274|8.785|             |
|NGC 1662         |04 48 27|+10 55.5|0.485|  -13.50|         0.40|152|437|8.695|        0.036|
|FSR 0979         |06 31 16|+11 05.0|0.155|        |             |97|1933|8.7|             |
|Dol-Dzim 2       |05 23 53|+11 29.4|0.16|        |             |64|1371|9.025|        0.071|
|FSR 0913         |05 25 32|+11 35.6|0.19|        |             |78|1633|8.9|             |
|NGC 2682         |08 51 23|+11 48.9|1.03|   33.58|         0.19|907|890|9.535|        0.009|
|NGC 2682         |08 51 23|+11 48.9|1.03|   33.58|         0.19|907|890|9.535|        0.009|
|Alessi 19        |18 19 08|+12 11.7|0.48|   -5.10|         1.24|269|550|7.9|             |
|FSR 0952         |06 10 17|+13 01.0|0.17|        |             |209|1994|9.105|        0.025|
|NGC 1663         |04 49 16|+13 10.2|0.285|        |             |95|1490|9.4|             |
|NGC 2169         |06 08 24|+13 59.4|0.22|   22.29|         2.14|94|1032|6.89|             |
|FSR 0933         |06 05 33|+14 33.1|0.155|        |             |113|1875|8.465|        0.028|
|FSR 0932         |06 04 26|+14 33.7|0.13|        |             |87|1508|9.1|             |
|FSR 0951         |06 22 20|+14 42.3|0.19|   42.00|             |288|1619|8.7|             |
|FSR 0131         |19 30 43|+15 25.7|0.11|        |             |58|1303|6.7|             |
|Collinder 65     |05 26 06|+15 40.2|1.5|   21.84|         1.17|1426|325|8.065|             |
|FSR 0921         |06 05 17|+16 40.5|0.16|        |             |149|1810|8.75|             |
|NGC 1817         |05 12 20|+16 40.8|0.26|   65.33|         0.09|306|1504|8.9|             |
|FSR 0882         |05 28 00|+16 54.9|0.2|        |             |123|1887|9.35|        0.025|
|FSR 0886         |05 34 59|+17 16.1|0.15|        |             |79|1685|9.11|             |
|FSR 0121         |18 16 18|+17 27.0|0.115|        |             |56|1523|9.45|             |
|Roslund 1        |19 45 07|+17 30.6|0.135|        |             |69|788|8.765|        0.019|
|FSR 0929         |06 25 34|+17 43.2|0.145|   47.20|             |113|1296|8.495|             |
|MWSC 4301        |16 59 20|+18 21.6|0.295|        |             |68|1355|9.415|             |
|Skiff J0619+18.5 |06 19 22|+18 30.6|0.14|        |             |174|1380|7.9|             |
|FSR 0904         |06 07 03|+19 01.3|0.095|        |             |132|1427|7.8|             |
|FSR 0903         |06 07 32|+19 05.7|0.13|        |             |161|1633|8.81|        0.028|
|NGC 1647         |04 45 59|+19 10.2|0.75|   -6.12|         0.39|618|572|8.3|        0.057|
|NGC 2632         |08 40 23|+19 41.4|3.1|   33.42|         0.52|511|187|8.92|             |
|FSR 0851         |05 14 38|+19 48.9|0.18|        |             |52|1092|9.15|             |
|NGC 2026         |05 43 06|+20 08.7|0.125|        |             |87|1226|8.62|             |
|FSR 0902         |06 18 18|+20 32.4|0.155|        |             |70|1243|7.145|             |
|FSR 0893         |06 13 43|+21 33.1|0.125|        |             |170|1485|8.725|             |
|Koposov 77       |05 43 52|+21 42.3|0.115|        |             |81|1750|9.445|             |
|Basel 11B        |05 58 15|+21 59.4|0.18|        |             |293|1318|8.98|        0.015|
|FSR 0905         |06 33 42|+22 17.3|0.155|        |             |136|1786|8.3|        0.064|
|Kronberger 12    |06 14 15|+22 29.0|0.1|        |             |73|1893|8.87|        0.084|
|Platais 4        |05 06 52|+22 34.4|0.66|   13.80|         5.08|187|275|8.55|             |
|FSR 0890         |06 23 08|+23 11.9|0.14|        |             |117|1522|7.5|             |
|NGC 2129         |06 01 06|+23 20.4|0.14|   12.60|         2.12|189|1651|7.48|             |
|Collinder 89     |06 19 12|+23 21.0|0.26|   26.23|         7.64|260|1021|7.825|             |
|FSR 0888         |06 22 14|+23 24.6|0.15|        |             |109|1536|7.6|             |
|Alessi 12        |20 43 23|+23 47.1|0.475|  -26.00|         3.70|161|543|7.46|             |
|NGC 1746         |05 04 34|+23 49.8|0.6|    2.00|         3.70|854|800|8.64|        0.025|
|Roslund 2        |19 45 16|+23 54.0|0.18|   -5.00|         6.00|251|1668|6.78|             |
|Melotte 22       |03 46 01|+24 22.2|6.2|    5.51|         0.33|488|130|8.15|             |
|ASCC 25          |06 45 32|+24 35.7|0.21|   21.50|         2.40|120|1989|9.1|             |
|ASCC 25          |06 45 32|+24 35.7|0.21|   21.50|         2.40|120|1989|9.1|             |
|FSR 0850         |05 45 07|+24 44.3|0.145|  -16.96|             |152|1836|7.3|             |
|Dol-Dzim 4       |05 35 50|+25 57.0|0.155|        |             |103|1658|8.455|        0.083|
|Melotte 111      |12 23 56|+26 18.0|4.225|   -0.95|         0.48|298|87|8.84|        0.037|
|FSR 0846         |05 48 50|+26 21.9|0.155|        |             |141|1881|7.3|             |
|Collinder 21     |01 50 10|+27 06.9|0.36|        |             |62|1400|9.392999999999999|        0.099|
|FSR 0145         |18 18 21|+29 06.6|0.305|        |             |126|1607|9.185|        0.080|
|FSR 0823         |05 42 35|+29 32.9|0.1|        |             |94|1100|8.805|        0.112|
|FSR 0844         |06 07 47|+29 38.4|0.18|        |             |159|1254|8.6|             |
|FSR 0866         |06 55 16|+29 43.8|0.18|    0.70|        20.26|148|1664|9.2|             |
|ASCC 17          |05 25 19|+30 10.9|0.195|  -16.00|         6.10|170|1850|7.265|             |
|Berkeley 17      |05 20 37|+30 35.4|0.22|  -84.00|         3.17|243|1800|9.6|             |
|FSR 0817         |05 39 27|+30 54.2|0.115|        |             |114|1359|9.05|             |
|Czernik 18       |04 27 50|+30 56.7|0.14|        |             |90|1263|8.68|             |
|Koposov 36       |05 36 48|+31 12.0|0.14|        |             |201|1600|8.445|        0.021|
|FSR 0807         |05 36 39|+31 50.4|0.165|        |             |60|1750|7.0|             |
|Platais 2        |01 12 54|+32 03.0|1.32|    6.53|         3.53|64|190|8.312999999999999|             |
|FSR 0771         |05 03 47|+32 09.9|0.14|        |             |110|1705|8.515|        0.036|
|Dolidze 16       |05 14 36|+32 39.6|0.15|        |             |75|868|7.6|             |
|NGC 1960         |05 36 20|+34 09.5|0.26|   -1.18|         4.60|462|1200|7.565|        0.078|
|Stock 8          |05 28 08|+34 25.4|0.28|   -6.40|         2.50|377|1731|7.05|             |
|Kronberger 1     |05 28 21|+34 47.1|0.1|   13.00|             |68|1919|6.9|             |
|FSR 0775         |05 25 42|+34 57.4|0.14|        |             |117|1300|8.72|        0.130|
|ASCC 10          |03 27 04|+35 01.8|0.53|        |             |205|700|8.717|        0.030|
|FSR 0843         |07 00 32|+35 04.2|0.195|        |             |58|1155|9.15|             |
|Per OB2          |03 51 02|+35 06.0|3.2|   23.05|         2.08|4262|400|7.355|             |
|ASCC 14          |05 20 24|+35 10.8|0.175|  -16.87|             |195|1100|8.53|             |
|NGC 2240         |06 33 20|+35 15.9|0.14|   15.83|         0.20|70|1551|9.2|             |
|Koposov 12       |06 01 03|+35 16.6|0.155|   13.60|         1.90|140|1900|8.91|             |
|Ruprecht 172     |20 11 49|+35 39.9|0.15|        |             |279|1803|9.065|        0.025|
|NGC 1912         |05 28 52|+35 48.0|0.39|    1.00|         0.58|1229|1144|8.35|             |
|ASCC 15          |05 22 28|+36 33.9|0.165|        |             |148|1400|8.685|        0.098|
|Stephenson 1     |18 54 04|+36 48.3|0.55|  -27.47|         6.39|175|373|7.52|             |
|NGC 1778         |05 07 59|+37 01.7|0.17|    8.17|         2.98|230|1500|8.45|             |
|NGC 1342         |03 32 01|+37 21.4|0.275|  -11.50|         0.40|190|665|8.6|             |
|NGC 752          |01 57 05|+37 47.4|1.4|    4.67|         0.75|402|450|9.13|             |
|Stock 10         |05 39 14|+37 48.3|0.415|   -8.16|             |269|500|8.42|             |
|FSR 0744         |04 59 28|+37 57.9|0.155|        |             |124|1250|8.85|             |
|FSR 0728         |04 29 53|+38 30.0|0.16|        |             |122|1816|8.255|        0.100|
|FSR 0700         |04 10 25|+39 15.0|0.11|        |             |52|1379|9.15|             |
|ASCC 122         |22 33 31|+39 34.7|0.565|   -8.17|         4.15|189|700|7.7|             |
|ASCC 122         |22 33 31|+39 34.7|0.565|   -8.17|         4.15|189|700|7.7|             |
|FSR 0733         |04 45 11|+39 45.6|0.11|        |             |58|1500|9.06|             |
|FSR 0692         |04 06 02|+40 10.1|0.13|        |             |74|1520|9.32|             |
|Waterloo 2       |05 28 02|+40 21.1|0.19|        |             |55|550|8.33|             |
|Collinder 62     |05 22 18|+41 01.5|0.235|        |             |309|1472|8.905|        0.037|
|NGC 2281         |06 48 18|+41 04.8|0.405|   13.29|         4.11|193|500|8.785|        0.022|
|Dolidze 11       |20 26 28|+41 25.8|0.1|  -14.00|             |60|1813|7.35|             |
|FSR 0236         |20 32 37|+41 26.4|0.18|        |             |303|901|8.2|             |
|FSR 0697         |04 18 41|+41 31.6|0.115|   -8.30|         3.70|64|1600|8.915|        0.118|
|ASCC 12          |04 49 56|+41 43.1|0.22|        |             |74|600|8.63|        0.017|
|FSR 0714         |04 42 47|+41 55.0|0.11|        |             |67|1819|9.06|             |
|Berkeley 68      |04 44 28|+42 06.0|0.165|        |             |160|1800|9.11|             |
|FSR 0717         |04 46 08|+42 07.8|0.08|        |             |60|1700|9.05|             |
|Dolidze 36       |20 02 28|+42 09.9|0.11|   77.00|        14.10|51|970|8.92|             |
|SAI 47           |05 23 56|+42 19.4|0.125|        |             |82|1523|9.2|             |
|FSR 0734         |05 03 20|+42 23.4|0.13|        |             |84|1532|7.5|             |
|NGC 1039         |02 42 12|+42 47.4|0.73|  -18.20|         1.40|513|510|8.383|        0.077|
|FSR 0330         |22 34 12|+43 20.4|0.187|        |             |113|1900|9.135|             |
|NGC 1664         |04 51 14|+43 39.6|0.31|   36.10|         1.70|492|1200|8.75|        0.023|
|NGC 1582         |04 31 30|+43 47.4|0.41|    5.53|         1.00|890|1000|8.665|        0.069|
|Berkeley 15      |05 02 07|+44 30.7|0.135|        |             |153|1300|9.4|             |
|ASCC 13          |05 13 48|+44 35.7|0.68|  -16.95|         9.65|1007|800|7.71|             |
