field1|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|field12
|Trumpler 34|18 39 48|-08 24.9|0.18|||99|1342|8.585||
|Trumpler 35|18 42 59|-04 13.8|0.14|-4.70|0.70|117|1273|8.15||
|Trumpler 7|07 27 18|-23 57.6|0.18|32.87|2.87|250|1659|8.0|0.001|
|Turner 2|18 16 55|-19 03.9|0.165|-15.70||69|1290|7.9||
|Turner 3|18 17 17|-19 07.2|0.115|-15.70||50|1392|7.46||
|Turner 9|19 44 49|+29 15.6|0.555|-18.52|6.20|870|852|8.03||
|Waterloo 2|05 28 02|+40 21.1|0.19|||55|550|8.33||
|Wit 1|07 00 23|-05 49.8|0.17|5.00||47|1952|6.35||
|Wit 4|20 30 13|+44 20.1|0.15|||217|1456|8.0||
|vdBergh 1|06 37 01|+03 04.2|0.195|19.29|1.57|156|1490|8.315||
|vdBergh 130|20 17 42|+39 21.0|0.115|||62|1589|7.4||
|vdBergh 152|22 12 23|+70 14.7|0.15|||53|1964|9.295|0.032|
|vdBergh 83|06 40 08|-27 17.4|0.12|||24|1925|9.35||
|vdBergh-Hagen 110|11 07 16|-61 27.6|0.085|||23|1879|8.0||
|vdBergh-Hagen 118|11 22 30|-58 31.8|0.115|||41|1221|9.045|0.024|
|vdBergh-Hagen 132|12 27 00|-64 04.0|0.18|||236|1859|8.45||
|vdBergh-Hagen 150|13 37 53|-63 19.2|0.1|||69|1537|7.5||
|vdBergh-Hagen 155|13 57 30|-59 34.8|0.13|||165|1864|8.44|0.102|
|vdBergh-Hagen 164|14 47 38|-66 23.4|0.37|13.50|5.50|110|501|7.1||
|vdBergh-Hagen 200|16 49 56|-44 12.3|0.115|||116|1633|7.5||
|vdBergh-Hagen 211|17 02 11|-41 06.6|0.105|||77|1820|8.52||
|vdBergh-Hagen 214|17 05 40|-36 40.0|0.11|||47|1579|8.71|0.137|
|vdBergh-Hagen 217|17 16 19|-40 48.6|0.1|||89|1723|7.7||
|vdBergh-Hagen 221|17 18 40|-32 19.8|0.2|6.33|3.84|63|807|7.8||
|vdBergh-Hagen 34|08 31 12|-44 30.3|0.15|24.00|5.00|150|950|8.48||
|vdBergh-Hagen 54|08 49 41|-44 22.0|0.115|||138|1239|7.5||
|vdBergh-Hagen 56|08 57 07|-43 17.1|0.125|-18.00|0.01|48|737|7.3||
|vdBergh-Hagen 84|10 01 21|-58 12.9|0.095|||77|1282|7.7||
|vdBergh-Hagen 87|10 04 34|-55 24.6|0.12|||167|1671|7.3||
|vdBergh-Hagen 90|10 12 11|-58 03.6|0.105|||107|1928|8.465||
|vdBergh-Hagen 91|10 16 59|-58 41.7|0.15|||79|749|8.35||
|vdBergh-Hagen 92|10 19 07|-56 25.4|0.12|||178|1282|8.91|0.012|
|vdBergh-Hagen 99|10 37 52|-59 07.5|0.34|6.00|3.49|204|517|8.0||
|NGC 2467|07 52 18|-26 25.7|0.095|55.75|9.68|23|1313|8.1||
|BDSB 105|18 07 31|-25 45.3|0.06|||30|1129|7.0||
|ASCC 33|07 03 45|-25 03.3|0.52|15.00|9.00|434|704|7.7||
|DB2001 41|17 30 24|-33 11.4|0.075|-29.25||15|1904|6.0||
|NGC 6613|18 19 59|-17 06.6|0.19|-14.00|4.49|82|1213|7.705|0.067|
|NGC 6618|18 20 35|-16 09.0|0.29|-4.00||50|1308|6.0||
|NGC 6611|18 18 41|-13 46.8|0.24|18.00|0.58|52|1646|6.33||
|NGC 2244|06 31 55|+04 56.4|0.365|26.16|3.37|236|1532|6.7||
|Czernik 11|02 36 35|+59 38.0|0.13|||98|1500|8.555|0.056|
|DBSB 103|16 40 03|-48 46.6|0.065|-35.00||16|1449|7.2||
|Collinder 33|02 59 16|+60 18.0|0.24|18.00||355|1100|8.347||
|NGC 6250|16 57 58|-45 57.0|0.255|-8.04|0.81|382|940|7.42||
|NGC 7380|22 47 20|+58 05.7|0.26|-34.13|6.09|350|1800|7.25||
|DBSB 104|17 03 59|-51 05.4|0.11|||65|813|8.37||
|BDSB 13|19 24 32|+20 47.7|0.085|||63|1735|7.4||
|NGC 2068|05 46 43|+00 06.0|0.14|63.30|7.30|9|747|6.45||
|NGC 2071|05 47 10|+00 18.0|0.14|63.70|0.35|16|953|6.55||
|Collinder 428|21 03 04|+44 33.6|0.11|||80|1185|8.855||
|NGC 6997|20 56 31|+44 36.6|0.2|||215|741|8.9||
|vdBergh 85|06 46 55|+01 19.5|0.13|||85|1893|7.685||
|NGC 2579|08 20 44|-36 11.8|0.09|1.65|0.44|47|1221|8.6||
|NGC 6334|17 20 51|-36 06.9|0.245|-1.60||173|1132|8.32|0.062|
|vdBergh-Hagen 223|17 20 41|-35 53.0|0.07|||15|895|8.45||
|Pismis 24|17 25 34|-34 24.0|0.09|||13|1481|6.0||
|NGC 6357|17 24 41|-34 12.8|0.11|-8.00||29|1773|6.0||
|Collinder 197|08 44 51|-41 14.0|0.22|33.10|3.20|132|881|7.2||
|L 1641S|05 42 29|-08 09.0|0.41|||21|497|6.62||
|KMS 35|05 37 54|-06 57.4|0.095|||7|636|6.6||
|NGC 2183|06 10 48|-06 12.0|0.39|10.30||164|1047|7.15||
|NGC 1980|05 35 28|-05 54.9|0.23|25.34|2.10|52|520|6.67||
|NGC 1976|05 35 19|-05 21.6|0.435|28.94|2.72|44|458|6.0||
|NGC 1977|05 35 33|-04 49.8|0.235|26.45|2.05|24|358|6.6||
|NGC 1981|05 35 06|-04 25.2|0.22|27.94|2.40|31|388|7.11|0.001|
|BIP 14|08 15 07|-04 04.5|0.155|||38|1609|8.095||
|Stock 8|05 28 08|+34 25.4|0.28|-6.40|2.50|377|1731|7.05||
|NGC 1579|04 30 11|+35 16.7|0.42|||50|730|6.58||
|NGC 2175|06 09 41|+20 30.3|0.15|22.00|7.70|53|1636|7.0||
|BDSB 96|07 05 19|-12 19.5|0.15|||46|1401|7.16||
|Pismis 4|08 34 41|-44 29.7|0.15|27.24|0.92|64|575|8.155||
|vdBergh 92|07 04 05|-11 31.8|0.25|17.50|0.29|169|1570|7.36|0.343|
|DBSB 116|17 09 36|-41 35.7|0.075|-26.92||20|1669|6.0||
|DBSB 50|10 13 40|-59 01.3|0.07|||52|1634|7.5||
|Loden 165|10 35 56|-58 44.0|0.115|||75|1330|8.25||
|LDN 1495W|04 14 33|+28 29.4|0.55|12.30|2.50|76|1306|8.2||
|vdBergh-Hagen 245|17 46 16|-29 42.0|0.19|||72|1699|6.67||
|Collinder 347|17 46 23|-29 19.5|0.13|||28|1852|6.6||
|NGC 1333|03 28 55|+31 22.2|0.57|||35|324|6.8||
|Grasdalen 1|16 23 40|-24 27.3|0.195|||35|1762|7.9||
|NGC 6530|18 04 30|-24 21.6|0.2|-6.49|8.67|46|1365|6.67||
|Bochum 14|18 02 00|-23 42.3|0.167|||40|538|7.1||
|Collinder 367|18 09 38|-23 42.0|0.315|-3.17|4.03|179|1170|7.295||
|NGC 6514|18 02 35|-22 59.7|0.265|-2.13|1.62|102|1093|6.9||
|NGC 2264|06 40 59|+09 52.8|0.39|20.69|1.53|185|650|6.75||
|Collinder 95|06 31 05|+09 54.6|0.17|-11.00|7.40|50|635|7.3||
|IC 446|06 31 02|+10 26.1|0.18|||89|1871|7.3||
|B 30|05 31 57|+12 24.6|0.32|||36|772|6.0||
|DBSB 47|10 15 38|-60 18.6|0.075|||28|1669|7.65||
|Sco OB4|17 12 36|-33 21.3|0.785|-9.37|5.15|2868|1082|6.82||
|NGC 6383|17 34 44|-32 34.6|0.225|2.67|2.17|77|1184|6.6||
|Sgr OB6|18 11 32|-16 00.0|0.31|-7.30|1.23|403|1594|7.5||
|Sct OB3|18 24 47|-14 12.0|0.21|3.30|17.00|146|1475|6.1||
|ASCC 111|20 11 06|+37 27.9|0.48|-14.49|6.96|501|1580|6.65||
|ASCC 122|22 33 31|+39 34.7|0.565|-8.17|4.15|189|700|7.7||
|Cyg OB2|20 33 16|+41 19.2|0.425|-20.85|2.11|904|1593|6.72||
|ASCC 125|22 56 29|+62 43.3|0.55|-18.69|2.70|701|569|6.7||
|Cep OB3|23 03 56|+63 23.4|0.59|-21.67|2.03|866|668|7.75||
|ASCC 21|05 29 02|+03 33.6|0.85|19.94|1.14|232|379|7.11||
|Cep OB4|00 02 56|+67 30.0|0.76|0.00||654|850|6.1||
|DBSB 101|16 10 34|-49 00.8|0.115|-39.00|1.00|130|1076|8.05||
|NGC 5460|14 07 34|-48 19.8|0.38|-12.31|2.18|272|652|8.3||
|ASCC 3|00 31 05|+55 16.5|0.24|-37.00|7.40|284|1550|7.729|0.033|
|Cep OB5|23 02 16|+57 01.3|0.3|-5.93||761|1819|7.5||
|Alessi 8|15 29 28|-51 15.3|0.26|||200|715|8.105||
|Collinder 258|12 27 14|-60 46.5|0.195|14.90|0.93|318|1278|8.35||
|Sgr OB7|18 14 53|-20 19.2|0.48|-7.19|3.14|592|1481|6.45||
|Collinder 70|05 35 47|-00 52.8|0.88|19.87|2.19|411|379|7.4||
|Berkeley 14A|05 00 38|+43 33.9|0.46|2.50|2.93|205|1100|6.97||
|vdBergh-Hagen 23|08 13 59|-36 20.0|0.32|17.40|0.60|123|414|7.14||
|Pup OB3|08 16 57|-35 52.0|0.34|47.27|0.45|175|1768|6.4||
|vdBergh-Hagen 202|16 55 11|-40 56.4|0.11|||138|1130|7.6||
|ESO 332-11|16 56 06|-40 46.8|0.1|||96|1841|7.1||
|ESO 332-08|16 54 47|-40 42.9|0.18|||300|965|8.17||
|vdBergh-Hagen 205|16 56 09|-40 40.8|0.09|-7.00|0.01|51|1536|7.12||
|NGC 6242|16 55 34|-39 27.6|0.215|-7.08|0.31|516|1184|7.55||
|Per OB2|03 51 02|+35 06.0|3.2|23.05|2.08|4262|400|7.355||
|NGC 6322|17 18 27|-42 55.8|0.145|-57.00|35.90|101|1089|7.16||
|NGC 6231|16 54 14|-41 49.8|0.4|-28.49|2.50|1207|1393|7.05||
|ASCC 86|17 02 15|-58 58.2|0.5|-6.00|3.70|466|738|8.05||
|NGC 6087|16 18 50|-57 56.4|0.32|-13.69|7.50|379|889|7.95||
|NGC 5662|14 35 35|-56 36.9|0.245|-23.20|1.00|251|625|8.275|0.090|
|Harvard 10|16 18 56|-54 55.2|0.38|-18.17|1.94|711|1441|7.97||
|Collinder 121|06 54 34|-24 19.5|0.475|31.35|3.95|205|1096|7.08||
|Cir OB1|14 45 00|-62 55.5|0.35|-10.00|5.90|644|1783|6.8||
|ASCC 89|17 23 20|-62 39.0|0.75|12.30|8.30|272|567|7.0||
|Stock 16|13 18 47|-62 30.6|0.185|-41.80|8.79|113|1630|6.78||
|Loden 694|12 53 04|-60 44.1|0.25|-23.00|7.40|303|1527|7.38||
|NGC 6025|16 03 16|-60 24.0|0.345|-3.40|7.40|523|763|8.18||
|NGC 4755|12 53 38|-60 22.5|0.225|-14.25|3.15|110|1971|7.3||
|NGC 2358|07 17 01|-17 09.3|0.3|||73|739|8.785||
|Roslund 6|20 28 34|+39 12.3|0.27|||43|544|8.67||
|Platais 6|06 15 04|+03 51.0|1.3|25.50|7.52|847|347|7.96|0.006|
|ASCC 123|22 42 23|+54 15.0|1.0|-6.46|6.49|121|250|8.191||
|NGC 6991A|20 54 27|+47 28.0|0.445|-6.00||116|565|9.055|0.033|
|NGC 7058|21 21 41|+50 49.2|0.15|||47|404|8.35||
|Turner 5|09 33 16|-36 24.6|0.9|11.41|2.69|401|400|8.49||
|NGC 2306|06 54 25|-07 12.3|0.22|||169|1249|9.0||
|ASCC 24|06 28 44|-06 58.8|0.29|16.35|3.31|29|381|7.3||
|Platais 9|09 11 49|-43 31.8|2.1|17.83|1.48|2277|200|8.09||
|Platais 5|06 14 42|-22 30.0|2.07|30.90||401|272|7.78||
