field1|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|field12
|ASCC 85|16 47 49|-45 29.4|0.235|7.09||227|806|7.5||
|ASCC 87|17 03 00|-28 27.0|0.3|||381|838|8.55|0.085|
|ASCC 88|17 06 50|-35 34.8|0.54|1.75|1.75|1955|1297|7.0||
|ASCC 90|17 39 07|-34 48.9|0.305|||103|526|8.81||
|ASCC 91|17 48 50|-37 22.2|0.22|||185|858|8.65||
|ASCC 92|17 51 07|-11 52.8|0.23|||233|644|9.08||
|ASCC 93|18 08 10|-22 16.8|0.165|-23.33|6.36|51|1830|6.1||
|ASCC 94|18 15 36|-14 58.5|0.27|-22.85|3.15|249|731|8.84|0.078|
|ASCC 95|18 16 03|-25 42.3|0.235|||49|1213|8.41|0.120|
|ASCC 96|18 20 04|-32 21.6|0.18|-35.00|7.40|138|759|8.4||
|ASCC 97|18 36 54|-19 13.2|0.34|||513|591|7.88||
|ASCC 98|18 42 40|-33 39.0|0.47|-54.00|7.40|501|800|8.045||
|ASCC 99|18 49 07|-18 44.4|0.23|-31.30|0.40|122|679|8.75||
|Alessi 1|00 53 19|+49 28.8|0.425|6.00|1.80|95|750|8.84||
|Alessi 10|20 04 44|-10 29.1|0.225|75.90|2.60|45|513|8.195||
|Alessi 12|20 43 23|+23 47.1|0.475|-26.00|3.70|161|543|7.46||
|Alessi 19|18 19 08|+12 11.7|0.48|-5.10|1.24|269|550|7.9||
|Alessi 2|04 46 16|+55 15.3|0.335|||190|520|8.698|0.033|
|Alessi 20|00 10 40|+58 44.9|0.305|-11.50|0.01|101|470|7.575|0.188|
|Alessi 21|07 10 41|-09 18.0|0.32|38.80|1.80|100|596|7.7||
|Alessi 3|07 16 12|-46 37.0|0.44|20.00|7.40|78|311|8.87||
|Alessi 5|10 43 19|-61 10.2|0.35|8.25|6.69|183|384|7.765||
|Alessi 6|14 40 32|-66 07.2|0.39|9.17|1.16|340|613|8.32||
|Alessi 62|18 55 52|+21 37.1|0.27|||108|546|8.95|0.023|
|Alessi 9|17 45 11|-47 11.1|0.89|-11.60|1.20|359|218|8.55||
|Antalova 1|17 28 57|-31 34.8|0.235|-2.79|29.77|66|930|8.485|0.068|
|Antalova 2|17 29 38|-32 28.8|0.125|||53|1259|6.0||
|Antalova 4|17 32 44|-32 57.3|0.16|||26|1802|6.0||
|Archinal 1|18 54 50|+05 32.4|0.1|||79|1453|8.0||
|Aveni-Hunter 1|23 37 10|+48 33.0|0.4|-54.30|14.76|126|500|8.186|0.173|
|B 35|05 43 41|+09 05.7|0.55|14.20||265|612|8.92||
|BDB 94|00 06 43|+65 37.7|0.085|||26|1700|7.4||
|BDSB 10|18 46 20|-03 47.7|0.08|||26|818|7.6||
|BDSB 106|18 01 35|-24 50.1|0.11|||39|1478|7.15||
|BDSB 111|18 02 05|-21 46.5|0.107|||29|1763|6.6||
|BDSB 16|19 55 00|+27 13.0|0.06|||38|1951|7.55||
|BDSB 21|21 05 21|+49 39.4|0.1|||124|1285|8.9||
|BDSB 24|21 28 53|+54 36.5|0.06|||22|1535|7.2||
|BDSB 3|18 06 20|-21 37.2|0.09|22.42||13|1515|8.255||
|BDSB 30|22 14 41|+61 26.4|0.075|||27|1490|6.55||
|BDSB 31|21 41 56|+66 05.1|0.05|||7|1300|7.4||
|BDSB 47|23 53 03|+60 28.2|0.05|||12|1800|8.94|0.049|
|BDSB 73|05 41 33|+35 51.7|0.185|-13.41||115|1110|8.875||
|BDSB 74|05 38 45|+30 43.4|0.1|||44|1715|8.45||
|BDSB 82|06 14 59|+12 20.3|0.11|||61|1934|7.915|0.151|
|BDSB 88|06 54 34|-04 31.8|0.085|||42|1791|7.4||
|BDSB 91|06 25 17|-10 33.3|0.15|||47|1918|6.65||
|Barkhatova 1|20 53 44|+46 01.5|0.17|-9.00||185|912|8.72||
|Barkhatova 2|21 43 40|+51 04.2|0.095|||78|1100|8.632||
|Basel 1|18 48 09|-05 51.9|0.1|||47|1604|8.135|0.042|
|Basel 11A|07 17 07|-13 58.9|0.21|||187|1537|7.42||
